lon,lat,FWI
95.30742077153243,5.837472670370301,0
95.07416141640496,5.703649290580273,0
95.15078793286531,5.621987643350533,0
97.00088887873731,5.249461742205283,3
97.5,5.242350547446058,2
96.87839995491444,5.24075063352135,5
96.90577782333804,5.242350615771714,4
97.06399999999996,5.234350547426401,4
97.49333330488602,5.23568390209732,3
96.80026666796326,5.247417516572561,9
96.86666649298655,5.24501773541226,6
97.00099988619635,5.241350794834272,4
97.49279997136918,5.228750579621225,4
97.528,5.226350547406742,5
96.85511078598914,5.241907033875344,7
97.08666664397887,5.223683914766149,4
97.42,5.218350547387082,5
97.4786665532272,5.2210172480912105,5
97.00148062441755,5.229313909828487,5
97.4665600601844,5.212590578197965,6
97.00862669803644,5.211762544213104,6
96.932,5.194350547328112,9
97.46281489285305,5.201757987810883,7
96.8897778391584,5.192572795853148,10
96.88,5.186350547308454,11
96.9,5.186350547308454,12
96.92,5.186350547308454,11
97.4,5.186350547308454,9
96.88,5.178350547288797,12
96.892,5.178350547288797,13
96.904,5.178350547288797,14
96.912,5.178350547288797,13
96.92,5.178350547288797,12
96.928,5.178350547288797,11
97.04012232672297,5.192873886302935,7
97.30400000000002,5.178350547288797,11
97.44216229052056,5.19132357254575,8
97.55733334458992,5.18101724773083,10
97.568,5.178350547288797,11
96.8666666779057,5.175683914333697,11
96.872,5.170350547269143,12
96.88,5.170350547269143,13
96.88800000000002,5.170350547269143,14
96.9,5.170350547269144,15
96.912,5.170350547269143,14
96.92,5.170350547269143,13
96.928,5.170350547269143,12
96.936,5.170350547269143,11
96.93759995544922,5.17995063233737,10
97.288,5.170350547269143,11
97.3,5.170350547269144,12
97.35199999999998,5.1753505828432775,9
97.56799999999998,5.170350547269143,12
96.88,5.16235054724949,14
96.92,5.16235054724949,14
97.28,5.16235054724949,11
97.49093357195396,5.177817324587174,9
96.85200005045796,5.16235079953928,10
96.85599999999998,5.150350584975032,11
96.86399999999998,5.15435064798851,12
96.872,5.154350647988511,13
96.88,5.150350584975032,15
96.9,5.15035058497503,17
96.9,5.156350651152773,16
96.92,5.150350584975032,15
97.272,5.150350584975032,11
97.3,5.15435064798851,13
96.88,5.138350547190527,14
96.888,5.138350547190527,15
96.9,5.138350547190527,16
96.912,5.138350547190527,15
96.92,5.138350547190527,14
96.928,5.150350735995121,13
96.936,5.150350735995121,12
